,MAIN_ID,Z_VALUE,RA,DEC,GALDIM_MAJAXIS,GALDIM_MINAXIS,SCRIPT_NUMBER_ID
1556,ACO  1750,0.0856,13 30 50.44,-01 51 27.1,14.583333,14.583333,0
1558,ACO  3562,0.049,13 33 31.8,-31 40 23,5.0,5.0,0
1567,ACO  1795,0.063,13 48 50.48,+26 35 07.4,23.333334,23.333334,0
1568,ACO  1775,0.075,13 41 50.60,+26 21 10.6,21.666666,21.666666,0
1574,BAX 205.7755-00.0230,0.7151,13 43 04.8,-00 00 56,4.5833335,4.5833335,0
1576,HCG  67,0.0245,13 49 03.5,-07 12 20,3.3,3.3,0
1577,ClG J1347-1145,0.45,13 47 30.5,-11 45 07,2.0,2.0,0
1583,HCG  68,0.008,13 53 40.9,+40 19 07,9.2,9.2,0
1589,HCG  69,0.0294,13 55 22,+25 07.5,1.9,1.9,0
1596,ACO  1835,0.2506,14 01 02.07,+02 52 43.2,2.0,2.0,0
1598,ClG J1354-0221,0.54786,13 54 16.9,-02 21 47,4.59,4.59,0
1599,ACO  1836,0.038,14 01 42.0,-11 36 20,12.333333,12.333333,0
1609,BAX 211.7262+28.5706,0.117,14 06 55.0,+28 34 16,5.4166665,5.4166665,0
1610,SDSSCGA 1320,0.1169,14 06 51.77,+28 34 42.1,1.84,1.84,0
1617,ACO  1882,0.13773,14 14 24.02,-00 22 39.9,7.9166665,7.9166665,0
1622,ACO S  758,0.039,14 12 20.9,-34 20 20,12.666667,12.666667,0
1624,ACO  1914,0.166,14 26 03.32,+37 49 58.7,7.5,7.5,0
1626,ClG J1415+3611,1.027,14 15 11.1,+36 12 03,2.9166667,2.9166667,0
1632,BAX 214.1083+23.2564,0.13814,14 16 27.70,+23 15 25.9,13.333333,13.333333,0
1633,ACO  1890,0.05779099,14 17 41.62,+08 13 06.4,0.512,0.389,0
1635,ACT-CL J1419.5+0647,0.11,14 19 36.200,+06 47 36.80,9.166667,9.166667,0
1636,BAX 214.8479+06.6450,0.61,14 19 23.5,+06 38 42,4.5833335,4.5833335,0
1664,SDSSCGA 647,0.072,14 36 59.0,-01 03 58,1.26,1.26,0
1695,PCG J1452+2759,0.12667,14 52 23.29,+27 56 42.5,0.8446,0.8446,0
1700,ZwCl 1455+2232,0.25762,14 57 15.2,+22 20 30,2.0,2.0,0
1704,ACO  1991,0.05842299,14 54 41.53,+18 38 08.4,16.666666,16.666666,0
1705,ACO  1983,0.04487038,14 52 59.33,+16 46 11.0,16.25,16.25,0
1707,ACO S  780,0.2357,14 59 29.1,-18 10 45,0.5,0.5,0
1712,ACO  3695,0.089,20 34 47.7,-35 49 39,15.0,15.0,0
1724,ClG J1931-2635,0.358,19 31 49.6,-26 34 33,9.166667,9.166667,0
1730,ACO  2163,0.201,16 15 46.1,-06 08 50,11.0,11.0,0
1731,ClG 2053-04,0.586,20 56 21.2,-04 37 46,4.1666665,4.1666665,0
1732,ClG J1504-0248,0.2168,15 04 07.4,-02 48 15,1.0,1.0,0
1735,SDSS CE 227.319229-00.249662,0.2625,15 09 18.300,-00 14 32.70,4.1,4.1,0
1737,ACO  2051,0.1182,15 16 47.15,-01 00 32.8,21.25,21.25,0
1739,SDSSCGB 438,0.118,15 16 12.9,-00 48 10,0.4,0.4,0
1741,NAME NGC 5846 Group,0.005,15 05 47.0,+01 34 25,14.166667,14.166667,0
1742,ACO  2050,0.1191,15 16 18.7,+00 05 31,15.0,15.0,0
1748,ClG 1532+01,0.32,15 35 02.7,+01 20 58,4.02,4.02,0
1762,BAX 233.1222+04.6817,0.03827569,15 32 32.02,+04 40 51.6,16.25,16.25,0
1768,ACO  2204,0.152,16 32 45.7,+05 34 43,0.6,0.6,0
1773,ACO  2052,0.03491567,15 16 41.64,+07 01 45.5,20.416666,20.416666,0
1775,ACT-CL J1521.8+0742,0.04419582,15 21 55.14,+07 41 27.2,21.0,21.0,0
1776,ACO  2063,0.034,15 23 01.8,+08 38 22,19.666666,19.666666,0
1792,SDSSCGA 1023,0.1212,15 09 41.96,+13 00 29.6,1.64,1.64,0
1810,ACO  2254,0.176,17 17 45.90,+19 40 22.8,15.333333,15.333333,0
1829,AWM 4,0.0321142,16 04 52.01,+23 56 26.9,18.666666,18.666666,0
1832,SDSSCGA 2170,0.091,16 52 05.11,+24 30 17.4,2.74,2.74,0
1835,ClG J1720+2638,0.1604,17 20 09.6,+26 37 35,1.5,1.5,0
1838,2MASX J17201001+2637317,0.16014,17 20 10.040,+26 37 32.06,0.343,0.261,0
1846,ACO  2142,0.0903,15 58 14.38,+27 12 57.8,15.833333,15.833333,0
1852,NGC  6261,0.03518,16 56 30.5264,+27 58 39.242,0.83,0.415,0
1862,ACO  2175,0.096,16 20 30.70,+29 53 31.2,15.833333,15.833333,0
1870,ACO  2261,0.2242,17 22 26.9,+32 07 58,13.76,13.76,0
1876,ACO  2069,0.1139,15 24 02.92,+29 53 20.3,5.0,5.0,0
1879,ACO  2065,0.0731,15 22 29.3,+27 42 22,20.416666,20.416666,0
1883,SDSSCGB 9439,0.153,16 13 19.1,+30 55 02,0.84,0.84,0
1885,HCG  82,0.0362,16 28 22.1,+32 49 25,3.1,3.1,0
1893,ClG J1720+3536,0.39,17 20 16.8,+35 36 27,7.5,7.5,0
1899,ACO  2061,0.0783,15 21 19.90,+30 37 13.0,7.5,7.5,0
1918,ACO  2034,0.1132,15 10 12.96,+33 29 53.2,12.083333,12.083333,0
1921,SDSSCGA 114,0.0966,15 17 07.20,+33 11 45.7,0.54,0.54,0
1925,ACO  2111,0.2291,15 39 40.9,+34 25 04,14.333333,14.333333,0
1935,ACO  2199,0.0309,16 28 43.31,+39 34 07.6,21.666666,21.666666,0
1936,BAX 250.6621+39.5981,0.35338,16 42 38.9,+39 35 53,4.1666665,4.1666665,0
1941,SDSSCGA 112,0.1806,17 12 19.16,+40 28 46.9,1.32,1.32,0
1957,ACO  3322,0.201,05 10 16.4,-45 19 12,13.833333,13.833333,0
1959,ACO S  384,0.058,03 45 45.0,-41 10 42,13.333333,13.333333,0
1960,ACO  3135,0.063,03 34 03.7,-39 00 49,4.0,4.0,0
1970,ACO  3330,0.09,05 14 47.4,-49 04 19,11.25,11.25,0
1974,ACO  3122,0.065,03 22 10.9,-41 20 15,19.583334,19.583334,0
1980,ACO S  592,0.226,06 38 49.40,-53 58 40.8,12.5,12.5,0
1981,ACO  3404,0.163,06 45 29.50,-54 13 37.0,15.0,15.0,0
1982,ACO  3391,0.055,06 26 15.4,-53 40 52,20.0,20.0,0
